NSE/EXCELINFO,Excel Infoways Limited
NSE/KECL,Kirloskar Electric Company Limited
NSE/KRBL,KRBL Limited
NSE/KESORAMIND,Kesoram Industries Limited
NSE/LOKESHMACH,Lokesh Machines Limited
NSE/KIRLOSBROS,Kirloskar Brothers Limited
NSE/LML,LML Limited
NSE/KHAITANELE,Khaitan Electricals Limited
NSE/KICL,Kalyani Investment Company Limited
NSE/LOTUSEYE,Lotus Eye Care Hospital Limited
NSE/KKCL,Kewal Kiran Clothing Limited
NSE/KIRLOSENG,Kirloskar Oil Engines Limited
NSE/LALPATHLAB,Dr. Lal Path Labs Ltd.
NSE/KOLTEPATIL,Kolte - Patil Developers Limited
NSE/KMSUGAR,K.M.Sugar Mills Limited
NSE/KOPRAN,Kopran Limited
NSE/KOTARISUG,Kothari Sugars And Chemicals Limited
NSE/KOKUYOCMLN,Kokuyo Camlin Limited
NSE/KPIT,KPIT Technologies Limited
NSE/KOTHARIPET,Kothari Petrochemicals Limited
NSE/KSERASERA,KSS Limited
NSE/KSK,KSK Energy Ventures Limited
NSE/KSL,Kalyani Steels Limited
NSE/LAOPALA,La Opala RG Limited
NSE/LAKSHMIEFL,Lakshmi Energy and Foods Limited
NSE/LIBERTSHOE,Liberty Shoes Limited
NSE/LICNETFGSC,LIC NOMURA MF - LIC NOMURA MF G-sec LT ETF - GO
NSE/LICNFNHGP,LICNAMC - LICNFNHGP
NSE/LGBFORGE,LGB Forge Limited
NSE/MADRASFERT,Madras Fertilizers Limited
NSE/LIQUIDBEES,Goldman Sachs Liquid Exchange Traded Scheme
NSE/LINDEINDIA,Linde India Limited
NSE/LPDC,Landmark Property Development Company Limited
NSE/LOVABLE,Lovable Lingerie Limited
NSE/MALUPAPER,Malu Paper Mills Limited
NSE/LUMAXTECH,Lumax Auto Technologies Limited
NSE/LUPIN,Lupin Limited
NSE/MADHAV,Madhav Marbles and Granites Limited
NSE/LUMAXIND,Lumax Industries Limited
NSE/MAANALU,Maan Aluminium Limited
NSE/LYKALABS,Lyka Labs Limited
NSE/M100,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M100 ETF GO
NSE/MAGNUM,Magnum Ventures Limited
NSE/NAUKRI,Info Edge (India) Limited
NSE/MAGMA,Magma Fincorp Limited
NSE/MAHSEAMLES,Maharashtra Seamless Limited
NSE/NOCIL,NOCIL Limited
NSE/MANAKINDST,Manaksia Industries Limited
NSE/MANAPPURAM,Manappuram Finance Limited
NSE/MANGTIMBER,Mangalam Timber Products Limited
NSE/NAGREEKEXP,Nagreeka Exports Limited
NSE/PDMJEPAPER,Pudumjee Paper Products Limited
NSE/MANPASAND,Manpasand Beverages Limited
NSE/MARALOVER,Maral Overseas Limited
NSE/MAZDA,Mazda Limited
NSE/MAXWELL,Maxwell Industries Limited
NSE/MARKSANS,Marksans Pharma Limited
NSE/MASTEK,Mastek Limited
NSE/MCDHOLDING,McDowell Holdings Limited
NSE/MEGH,Meghmani Organics Limited
NSE/MCLEODRUSS,Mcleod Russel India Limited
NSE/MCDOWELL_N,United Spirits Limited
NSE/MCX,Multi Commodity Exchange of India Limited
NSE/METKORE,Metkore Alloys & Industries Limited
NSE/MICROSEC,Microsec Financial Services Limited
NSE/MINDTREE,MindTree Limited
NSE/MIRCELECTR,MIRC Electronics Limited
NSE/MMFL,MM Forgings Limited
NSE/MONTECARLO,Monte Carlo Fashions Limited
NSE/MOIL,MOIL Limited
NSE/NAHARINDUS,Nahar Industrial Enterprises Limited
NSE/MONNETISPA,Monnet Ispat and Energy Limited
NSE/MOTILALOFS,Motilal Oswal Financial Services Limited
NSE/MPHASIS,MphasiS Limited
NSE/MOSERBAER,Moser-Baer (I) Limited
NSE/MUKANDLTD,Mukand Limited
NSE/NITESHEST,Nitesh Estates Limited
NSE/MUNJALAU,Munjal Auto Industries Limited
NSE/MPSLTD,MPS Limited
NSE/OMAXE,Omaxe Limited
NSE/MTNL,Mahanagar Telephone Nigam Limited
NSE/MRO_TEK,MRO-TEK Limited
NSE/NITCO,Nitco Limited
NSE/NAGAROIL,Nagarjuna Oil Refinery Limited
NSE/NAGREEKCAP,Nagreeka Capital & Infrastructure Limited
NSE/N100,Motilal Oswal Mutual Fund-Motilal Oswal MOSt Shares NASDAQ 100 ETF -GO
NSE/NATCOPHARM,Natco Pharma Limited
NSE/NAHARSPING,Nahar Spinning Mills Limited
NSE/NAHARPOLY,Nahar Poly Films Limited
NSE/NAKODA,Nakoda Limited
NSE/NAVINFLUOR,Navin Fluorine International Limited
NSE/NATIONALUM,National Aluminium Company Limited
NSE/NCC,NCC Limited
NSE/NBCC,NBCC (INDIA) LIMITED
NSE/NETWORK18,Network18 Media & Investments Limited
NSE/NDTV,New Delhi Television Limited
NSE/ORIENTREF,Orient Refractories Limited
NSE/PDUMJEIND,Pudumjee Industries Limited
NSE/NELCAST,Nelcast Limited
NSE/NIFTYBEES,Goldman Sachs Nifty Exchange Traded Scheme
NSE/NHPC,NHPC Limited
NSE/NIFTYIWIN,ICICI Prudential Nifty Exchange Traded Fund
NSE/OMAXAUTO,Omax Autos Limited
NSE/NIITLTD,NIIT Limited
NSE/NIFTYEES,Edelweiss ETF - Nifty 50
NSE/PTC,PTC India Limited
NSE/NIPPOBATRY,Indo-National Limited
NSE/NITINSPIN,Nitin Spinners Limited
NSE/NRBBEARING,NRB Bearing Limited
NSE/OCL,OCL India Limited
NSE/OISL,OCL Iron and Steel Limited
NSE/OILCOUNTUB,Oil Country Tubular Limited
NSE/OIL,Oil India Limited
NSE/ONGC,Oil & Natural Gas Corporation Limited
NSE/OMKARCHEM,Omkar Speciality Chemicals Limited
NSE/ORBITCORP,Orbit Corporation Limited
NSE/OMMETALS,OM Metals Infraprojects Limited
NSE/PARABDRUGS,Parabolic Drugs Limited
NSE/ORBTEXP,Orbit Exports Limited
NSE/ORIENTABRA,Orient Abrasives Limited
NSE/ORTEL,Ortel Communications Limited
NSE/PANACEABIO,Panacea Biotec Limited
NSE/PANORAMUNI,Panoramic Universal Limited
NSE/PARACABLES,Paramount Communications Limited
NSE/PANAMAPET,Panama Petrochem Limited
NSE/PAEL,PAE Limited
NSE/PATINTLOG,Patel Integrated Logistics Limited
NSE/PEARLPOLY,Pearl Polymers Limited
NSE/PENINLAND,Peninsula Land Limited
NSE/PFOCUS,Prime Focus Limited
NSE/PIIND,PI Industries Limited
NSE/PGIL,Pearl Global Industries Limited
NSE/PGHH,Procter & Gamble Hygiene and Health Care Limited
NSE/PHILIPCARB,Phillips Carbon Black Limited
NSE/PITTILAM,Pitti Laminations Limited
NSE/POKARNA,Pokarna Limited
NSE/POLARIS,POLARIS CONSULTING & SERVICES LIMITED
NSE/PNC,Pritish Nandy Communications Limited
NSE/POWERMECH,Power Mech Projects Limited
NSE/PTL,PTL Enterprises Limited
NSE/PRAKASHSTL,Prakash Steelage Limited
NSE/PRAKASHCON,Prakash Constrowell Limited
NSE/PRECWIRE,Precision Wires India Limited
NSE/PRATIBHA,Pratibha Industries Limited
NSE/PRESSMN,Pressman Advertising Limited
NSE/PRICOL,Pricol Limited
NSE/PROZONINTU,Prozone Intu Properties Limited
NSE/PROVOGE,Provogue (India) Limited
NSE/PRAENG,Prajay Engineers Syndicate Limited
NSE/PUNJLLOYD,Punj Lloyd Limited
NSE/PURVA,Puravankara Projects Limited
NSE/QUICKHEAL,Quick Heal Technologies Limited
NSE/QNIFTY,Quantum Index Fund -Exchange Traded Fund (ETF)
NSE/RAJOIL,Raj Oil Mills Limited
NSE/RALLIS,Rallis India Limited
NSE/RELCNX100,Reliance Mutual Fund - R* Shares CNX 100 Fund
NSE/RAJTV,Raj Television Network Limited
NSE/RAJRAYON,Raj Rayon Industries Limited
NSE/RAMCOSYS,Ramco Systems Limited
NSE/RANASUG,Rana Sugars Limited
NSE/RATNAMANI,Ratnamani Metals & Tubes Limited
NSE/RASOYPR,Rasoya Proteins Limited
NSE/RANEHOLDIN,Rane Holdings Limited
NSE/RBL,Rane Brake Lining Limited
NSE/RECLTD,Rural Electrification Corporation Limited
NSE/REFEX,Refex Industries Limited
NSE/REIAGROLTD,Rei Agro Limited
NSE/REDINGTON,Redington (India) Limited
NSE/RELCONS,Reliance MF - R*Shares Consumption Fund - R* SHARES CONSUMPTION FUND
NSE/RELIANCE,Reliance Industries Limited
NSE/RESPONIND,Responsive Industries Limited
NSE/RELINFRA,Reliance Infrastructure Limited
NSE/REVATHI,Revathi Equipment Limited
NSE/RICOAUTO,Rico Auto Industries Limited
NSE/RELDIVOPP,Reliance MF - R*Shares Dividend Opportunities Fund - RSDOETF
NSE/ROHITFERRO,Rohit Ferro-Tech Limited
NSE/ROLTA,Rolta India Limited
NSE/RML,Rane (Madras) Limited
NSE/ROHLTD,Royal Orchid Hotels Limited
NSE/RSWM,RSWM Limited
NSE/RSYSTEMS,R Systems International Limited
NSE/RPPINFRA,R.P.P. Infra Projects Limited
NSE/RUBYMILLS,The Ruby Mills Limited
NSE/SILINV,SIL Investments Limited
NSE/RMCL,Radha Madhav Corporation Limited
NSE/RTNINFRA,RattanIndia Infrastructure Limited
NSE/RUCHISOYA,Ruchi Soya Industries Limited
NSE/RUSHIL,Rushil Decor Limited
NSE/RPGLIFE,RPG Life Sciences Limited
NSE/SAIL,Steel Authority of India Limited
NSE/SALSTEEL,S.A.L. Steel Limited
NSE/SALORAINTL,Salora International Limited
NSE/SELAN,Selan Exploration Technology Limited
NSE/SANGAMIND,Sangam (India) Limited
NSE/SANDESH,The Sandesh Limited
NSE/SEPOWER,S.E. Power Limited
NSE/SANGHIIND,Sanghi Industries Limited
NSE/SAKSOFT,Saksoft Limited
NSE/SANWARIA,Sanwaria Agro Oils Limited
NSE/SANOFI,Sanofi India Limited
NSE/SAREGAMA,Saregama India Limited
NSE/SCI,Shipping Corporation Of India Limited
NSE/SATHAISPAT,Sathavahana Ispat Limited
NSE/SEAMECLTD,Seamec Limited
NSE/SBIN,State Bank of India
NSE/SBBJ,State Bank of Bikaner and Jaipur
NSE/SERVALL,Servalakshmi Paper Limited
NSE/SELMCL,SEL Manufacturing Company Limited
NSE/SESHAPAPER,Seshasayee Paper and Boards Limited
NSE/SETFNIFBK,SBI-ETF Nifty Bank
NSE/SHAHALLOYS,Shah Alloys Limited
NSE/SHYAMTEL,Shyam Telecom Limited
NSE/SHANTIGEAR,Shanthi Gears Limited
NSE/SHAKTIPUMP,Shakti Pumps (India) Limited
NSE/SGL,STL Global Limited
NSE/SHARIABEES,Goldman Sachs S&P CNX Nifty Shariah Index Exchange Traded Scheme
NSE/SHALPAINTS,Shalimar Paints Limited
NSE/SHARONBIO,Sharon Bio-Medicine Limited
NSE/SHOPERSTOP,Shoppers Stop Limited
NSE/SHIVTEX,Shiva Texyarn Limited
NSE/SHRENUJ,Shrenuj & Company Limited
NSE/SHIVAMAUTO,Shivam Autotech Limited
NSE/SHREYANIND,Shreyans Industries Limited
NSE/SICAL,Sical Logistics Limited
NSE/SICAGEN,Sicagen India Limited
NSE/SIMPLEX,Simplex Projects Limited
NSE/SIGNET,Signet Industries Limited
NSE/SIEMENS,Siemens Limited
NSE/SIMPLEXINF,Simplex Infrastructures Limited
NSE/SJVN,SJVN Limited
NSE/SKMEGGPROD,SKM Egg Products Export (India) Limited
NSE/SONASTEER,Sona Koyo Steering Systems Limited
NSE/SOLARINDS,Solar Industries India Limited
NSE/SONATSOFTW,Sonata Software Limited
NSE/SOTL,Savita Oil Technologies Limited
NSE/ORCHIDCHEM,Orchid Chemicals & Pharmaceuticals Limited
NSE/VIKASGLOB,Vikas GlobalOne Limited
NSE/GUJRATGAS,Gujarat Gas Company Limited
NSE/MAKE,Marico Kaya Enterprises Limited
NSE/AMTEKINDIA,Amtek India Limited
NSE/NKIND,NK Industries Limited
NSE/NIRVIKARA,Nirvikara Paper Mills Limited
NSE/ARVINFRA,Arvind Infrastructure Limited
NSE/CASTEXTECH,Castex Technologies Limited
NSE/KOTAKNV20,KOTAKMAMC - KTKNV20ETF
NSE/LCCINFOTEC,LCC Infotech Limited
NSE/NIF100IWIN,ICICI Prudential Nifty 100 ETF
NSE/ORCHIDPHAR,Orchid Pharma Limited
NSE/PILITA,PIL ITALICA LIFESTYLE LIMITED
NSE/SENSEXIWIN,ICICI Prudential Sensex ETF
NSE/SETFNIF50,SBI-ETF Nifty 50
NSE/UTINIFTETF,UTI Mutual Fund - UTI-Nifty Exchange Traded Fund
NSE/NIFTY_50,National Stock Exchange of India (NSE) Stock Index - Nifty 50
NSE/TIMBOR,Timbor Home Limited
NSE/APOLLOHOSP,Apollo Hospitals Enterprise Limited
NSE/COFFEEDAY,Coffee Day Enterprises Limited
NSE/GOCLCORP,GOCL Corporation Limited
NSE/HCLTECH,HCL Technologies Limited
NSE/INEOSSTYRO,INEOS Styrolution India Limited
NSE/KESARENT,Kesar Enterprises Limited
NSE/LINCOLN,Lincoln Pharmaceuticals Limited
NSE/MFSL,Max Financial Services Limited
NSE/NEXTMEDIA,Next Mediaworks Limited
NSE/ORTINLABSS,Ortin Laboratories Limited
NSE/PENPEBS,Pennar Engineered Building Systems Limited
NSE/PINCON,Pincon Spirit Limited
NSE/NIFTY_BANK,National Stock Exchange of India (NSE) Stock Index - Nifty Bank
NSE/NIFTY_COMMODITIES,National Stock Exchange of India (NSE) Stock Index - Nifty Commodities
NSE/NIFTY_INFRA,National Stock Exchange of India (NSE) Stock Index - Nifty Infra
NSE/NIFTY_CONSUMPTION,National Stock Exchange of India (NSE) Stock Index - Nifty India Consumption
NSE/HINDDORROL,Hindustan Dorr-Oliver Limited
NSE/KAMDHENU,Kamdhenu Limited
NSE/MIC,MIC Electronics Limited
NSE/PIRPHYTO,Piramal Phytocare Limited
NSE/SETFBANK,SBIAMC - SETFBANK
NSE/BILPOWER,Bilpower  Limited
NSE/JAINSTUDIO,Jain Studios Limited
NSE/CURATECH,Cura Technologies Limited
NSE/EIMCOELECO,Eimco Elecon (India) Limited
NSE/DSSL,Dynacons Systems & Solutions Limited
NSE/ENTEGRA,Entegra Limited
NSE/EUROMULTI,Euro Multivision Limited
NSE/GISOLUTION,GI Engineering Solutions Limited
NSE/GOENKA,Goenka Diamond and Jewels Limited
NSE/JAIHINDPRO,Jaihind Projects Limited
NSE/LFIC,Lakshmi Finance & Industrial Corporation Limited
NSE/NORBTEAEXP,Norben Tea & Exports Limited
NSE/SHRIASTER,SHRI ASTER SILICATES LIMITED
NSE/MOTOGENFIN,The Motor & General Finance Limited
NSE/QUINTEGRA,Quintegra Solutions Limited
NSE/RADAAN,Radaan Mediaworks India Limited
NSE/RUCHINFRA,Ruchi Infrastructure Limited
NSE/SGFL,Shree Ganesh Forgings Limited
NSE/TNTELE,Tamilnadu Telecommunication Limited
NSE/SIL,Standard Industries Limited
NSE/SRGINFOTEC,SRG Infotec (India) Limited
NSE/VISUINTL,Visu International Limited
NSE/NIFTY_AUTO,National Stock Exchange of India (NSE) Stock Index - Nifty Auto
NSE/OMNITECH,Omnitech Infosolutions Limited
NSE/PILANIINVS,Pilani Investment and Industries Corporation Limited
NSE/SKSMICRO,SKS Microfinance Limited
NSE/KERNEX,Kernex Microsystems (India) Limited
NSE/ICNX100,ICICI Prudential Nifty 100 ETF
NSE/IMIDCAP,ICICIPRAMC - IMIDCAP
NSE/INIFTY,ICICI Prudential Nifty ETF
NSE/ISENSEX,ICICI Prudential Sensex ETF
NSE/ACROPETAL,Acropetal Technologies Limited
NSE/LLOYDELENG,Lloyd Electric & Engineering Limited
NSE/LICNFENGP,LICNAMC - LICNFENGP
NSE/PNCINFRA,PNC Infratech Limited
NSE/NIFTY_MIDCAP_LIQUID_15,National Stock Exchange of India (NSE) Stock Index - Nifty Midcap Liquid 15
NSE/CNX_ENERGY,National Stock Exchange of India (NSE) Stock Index - CNX Energy
NSE/ANTGRAPHIC,Antarctica Limited
NSE/ELDERPHARM,Elder Pharmaceuticals Limited
NSE/GLFL,Gujarat Lease Financing Limited
NSE/RAMSARUP,Ramsarup Industries Limited
NSE/NEPCMICON,NEPC India Limited
NSE/PRADIP,Pradip Overseas Limited
NSE/MURLIIND,Murli Industries Limited
NSE/MALWACOTT,Malwa Cotton Spg. Mills Limited
NSE/TODAYS,Todays Writing Instruments Limited
NSE/BHARTISHIP,Bharati Shipyard Limited
NSE/BLUESTINFO,Blue Star Infotech Limited
NSE/HMT,HMT Limited
NSE/UMESLTD,Usha Martin Education & Solutions Limited
NSE/KHAITANLTD,Khaitan (India) Limited
NSE/KALYANIFRG,Kalyani Forge Limited
NSE/LICNMFET,LIC NOMURA MF - LIC NOMURA MF G-sec LT ETF - GO
NSE/REGENCERAM,Regency Ceramics Limited
NSE/TECHIN,TECHINDIA NIRMAN LIMITED
NSE/ERAINFRA,Era Infra Engineering Limited
NSE/RAJVIR,Rajvir Industries Limited
NSE/ABCIL,Aditya Birla Chemicals (India) Limited
NSE/PFRL,Pantaloons Fashion & Retail Limited
NSE/WELSYNTEX,Welspun Syntex Limited
NSE/NIFTY_SMALL_100,National Stock Exchange of India (NSE) Stock Index - Nifty Small 100
NSE/LIX15_MIDCAP,National Stock Exchange of India (NSE) Stock Index - LIX15 Midcap
NSE/JUSTDIAL,Just Dial Limited
NSE/CNX_LOW_VOLATILITY,National Stock Exchange of India (NSE) Stock Index - CNX Low Volatility
NSE/ESSAROIL,Essar Oil Limited
NSE/BAFNAPHARM,Bafna Pharmaceuticals Limited
NSE/IVP,IVP Limited
NSE/MEP,MEP Infrastructure Developers Limited
NSE/PALREDTEC,Palred Technologies Limited
NSE/TV18BRDCST,TV18 Broadcast Limited
NSE/VINDHYATEL,Vindhya Telelinks Limited
NSE/MINDTECK,Mindteck (India) Limited
NSE/NIFTY_500,National Stock Exchange of India (NSE) Stock Index - Nifty 500
NSE/BLBLIMITED,BLB Limited
NSE/ATULAUTO,Atul Auto Limited
NSE/COSMOFILMS,Cosmo Films Limited
NSE/EIDPARRY,EID Parry India Limited
NSE/MAYURUNIQ,Mayur Uniquoters Ltd
NSE/ORIENTLTD,Orient Press Limited
NSE/SEZAL,Sezal Glass Limited
NSE/TTKHLTCARE,TTK Healthcare Limited
NSE/NILAINFRA,Nila Infrastructures Limited
NSE/TECHNOFAB,Technofab Engineering Limited
NSE/CNX_SMALLCAP,National Stock Exchange of India (NSE) Stock Index - CNX Smallcap
NSE/CENTENKA,Century Enka Limited
NSE/JOCIL,Jocil Limited
NSE/KARMAENG,Karma Energy Limited
NSE/NTPC,NTPC Limited
NSE/PDSMFL,PDS Multinational Fashions Limited
NSE/PIONDIST,Pioneer Distilleries Limited
NSE/TATAMETALI,Tata Metaliks Limited
NSE/BAJAJCORP,Bajaj Corp Limited
NSE/BFINVEST,BF Investment Limited
NSE/BSELINFRA,BSEL Infrastructure Realty Limited
NSE/CAREERP,Career Point Limited
NSE/CCL,CCL Products (India) Limited
NSE/CELESTIAL,Celestial Biolabs Limited
NSE/CORDSCABLE,Cords Cable Industries Limited
NSE/CTE,Cambridge Technology Enterprises Limited
NSE/CYBERTECH,Cybertech Systems And Software Limited
NSE/ELGIRUBCO,Elgi Rubber Company Limited
NSE/EVERONN,Everonn Education Limited
NSE/FILATEX,Filatex India Limited
NSE/HATHWAY,Hathway Cable & Datacom Limited
NSE/GHCL,GHCL Limited
NSE/GLENMARK,Glenmark Pharmaceuticals Limited
NSE/GSS,GSS Infotech Limited
NSE/GUJNRECOKE,Gujarat NRE Coke Limited
NSE/GUJNREDVR,Gujarat NRE Coke Limited
NSE/HDIL,Housing Development and Infrastructure Limited
NSE/IBREALEST,Indiabulls Real Estate Limited
NSE/INFIBEAM,Infibeam Incorporation Limited
NSE/ITDCEM,ITD Cementation India Limited
NSE/NLCINDIA,NLC India Limited
NSE/ORIENTALTL,Oriental Trimex Limited
NSE/PATELENG,Patel Engineering Limited
NSE/PHOENIXLTD,The Phoenix Mills Limited
NSE/PKTEA,The Peria Karamalai Tea & Produce Company Limited
NSE/PNEUMATIC,Pneumatic Holdings Limited
NSE/PSB,Punjab & Sind Bank
NSE/QGOLDHALF,Quantum Gold Fund -Exchange Traded Fund (ETF)
NSE/RANEENGINE,Rane Engine Valve Limited
NSE/RELIGARE,Religare Enterprises Limited
NSE/RENUKA,Shree Renuka Sugars Limited
NSE/RELNIFTY,Reliance Mutual Fund - R* Shares Nifty ETF - Dividend Payout
NSE/ROSSELLIND,Rossell India Limited
NSE/SABTN,Sri Adhikari Brothers Television Network Limited
NSE/RUCHIRA,Ruchira Papers Limited
NSE/SANGHVIFOR,Sanghvi Forging and Engineering Limited
NSE/SANGHVIMOV,Sanghvi Movers Limited
NSE/SATIN,Satin Creditcare Network Limited
NSE/SBT,State Bank of Travancore
NSE/SFCL,Star Ferro and Cement Limited
NSE/SITINET,Siti Networks Limited
NSE/SMSPHARMA,SMS Pharmaceuticals Limited
NSE/SRF,SRF Limited
NSE/STCINDIA,The State Trading Corporation of India Limited
NSE/STAMPEDE,Stampede Capital Limited
NSE/SUJANAUNI,Sujana Universal Industries Limited
NSE/SUPRAJIT,Suprajit Engineering Limited
NSE/TANLA,Tanla Solutions Limited
NSE/VIKASECO,Vikas EcoTech Limited
NSE/ZEEMEDIA,Zee Media Corporation Limited
NSE/PRABHAT,Prabhat Dairy Limited
NSE/ANDHRACEMT,Andhra Cements Limited
NSE/AJANTPHARM,Ajanta Pharma Limited
NSE/ALKALI,Alkali Metals Limited
NSE/AMTL,Advance Metering Technology Limited
NSE/ITI,ITI Limited
NSE/SHIRPUR_G,Shirpur Gold Refinery Limited
NSE/ONWARDTEC,Onward Technologies Limited
NSE/PONNIERODE,Ponni Sugars (Erode) Limited
NSE/CNX_MIDCAP,National Stock Exchange of India (NSE) Stock Index - CNX Midcap
NSE/GENUSPOWER,Genus Power Infrastructures Limited
NSE/LICNETFSEN,LICNAMC - LICNFESGP
NSE/DPSCLTD,DPSC Limited
NSE/LAMBODHARA,Lambodhara Textiles Limited
NSE/MANAKALUCO,Manaksia Aluminium Company Limited
NSE/SABEVENTS,Sab Events & Governance Now Media Limited
NSE/NIFTY_MEDIA,National Stock Exchange of India (NSE) Stock Index - Nifty Media
NSE/AMRUTANJAN,Amrutanjan Health Care Limited
NSE/DCBBANK,DCB BANK LIMITED
NSE/GILLANDERS,Gillanders Arbuthnot & Company Limited
NSE/JINDALPOLY,Jindal Poly Films Limited
NSE/PFIZER,Pfizer Limited
NSE/PVR,PVR Limited
NSE/SHILPI,Shilpi Cable Technologies Limited
NSE/SUMMITSEC,Summit Securities Limited
NSE/TCIFINANCE,TCI Finance Limited
NSE/TVSMOTOR,TVS Motor Company Limited
NSE/VINYLINDIA,Vinyl Chemicals (India) Limited
NSE/WHIRLPOOL,Whirlpool of India Limited
NSE/CPSE_INDEX,National Stock Exchange of India (NSE) Stock Index - CPSE
NSE/CNX_SHARIAH25,National Stock Exchange of India (NSE) Stock Index - CNX Shariah25
NSE/CNX_SERVICE,National Stock Exchange of India (NSE) Stock Index - CNX Service Sector
NSE/ARROWCOAT,Arrow Coated Products Limited
NSE/GRAPHITE,Graphite India Limited
NSE/HINDZINC,Hindustan Zinc Limited
NSE/MANGALAM,Mangalam Drugs And Organics Limited
NSE/POCHIRAJU,Pochiraju Industries Limited
NSE/BIRLACOT,Birla Cotsyn (India) Limited
NSE/NIFTY_MIDCAP_100,National Stock Exchange of India (NSE) Stock Index - Nifty Midcap 100
NSE/CNX_BANK,National Stock Exchange of India (NSE) Stock Index - CNX Bank
NSE/NIFTY_MNC,National Stock Exchange of India (NSE) Stock Index - Nifty MNC
NSE/AGRODUTCH,Agro Dutch Industries Limited
NSE/PRECAM,Precision Camshafts Limited
NSE/JVLAGRO,JVL Agro Industries Limited
NSE/SPAL,S. P. Apparels Limited
NSE/SVOGL,SVOGL OIL GAS AND ENERGY LIMITED
NSE/VALECHAENG,Valecha Engineering Limited
NSE/CNX_PSE,National Stock Exchange of India (NSE) Stock Index - CNX PSE
NSE/AGRITECH,Agri-Tech (India) Limited
NSE/BSLIMITED,BS LIMITED
NSE/CENTURYPLY,Century Plyboards (India) Limited
NSE/EBANK,Edelweiss ETF - Nifty Bank
NSE/GOLDENTOBC,Golden Tobacco Limited
NSE/GRUH,Gruh Finance Limited
NSE/IBWSL,Indiabulls Wholesale Services Limited
NSE/INFRATEL,Bharti Infratel Limited
NSE/MAITHANALL,Maithan Alloys Limited
NSE/MARUTI,Maruti Suzuki India Limited
NSE/MTEDUCARE,MT Educare Limited
NSE/NITINFIRE,Nitin Fire Protection Industries Limited
NSE/PRECOT,Precot Meridian Limited
NSE/RAIREKMOH,Raisaheb Reckhchand Mohota Spinning & Weaving Mills Limited
NSE/RCOM,Reliance Communications Limited
NSE/ADFFOODS,ADF Foods Limited
NSE/ALBK,Allahabad Bank
NSE/APOLSINHOT,Apollo Sindoori Hotels Limited
NSE/AGARIND,Agarwal Industrial Corporation Limited
NSE/ADORWELD,Ador Welding Limited
NSE/ANGIND,ANG Industries Limited
NSE/ASTRAMICRO,Astra Microwave Products Limited
NSE/BALKRISIND,Balkrishna Industries Limited
NSE/BANG,Bang Overseas Limited
NSE/BERGEPAINT,Berger Paints (I) Limited
NSE/BLUEDART,Blue Dart Express Limited
NSE/BPL,BPL Limited
NSE/CAMLINFINE,Camlin Fine Sciences Limited
NSE/CCCL,Consolidated Construction Consortium Limited
NSE/CUMMINSIND,Cummins India Limited
NSE/DBCORP,D.B.Corp Limited
NSE/DBREALTY,D B Realty Limited
NSE/DHANBANK,Dhanlaxmi Bank Limited
NSE/FCSSOFT,FCS Software Solutions Limited
NSE/FLFL,Future Lifestyle Fashions Limited
NSE/GABRIEL,Gabriel India Limited
NSE/GMDCLTD,Gujarat Mineral Development Corporation Limited
NSE/GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
NSE/GRAVITA,Gravita India Limited
NSE/GSFC,Gujarat State Fertilizers & Chemicals Limited
NSE/GTNIND,GTN Industries Limited
NSE/GULFPETRO,GP Petroleums Limited
NSE/HCL_INSYS,HCL Infosystems Limited
NSE/HEROMOTOCO,Hero MotoCorp Limited
NSE/HILTON,Hilton Metal Forging Limited
NSE/HINDUJAFO,Hinduja Foundries Limited
NSE/IITL,Industrial Investment Trust Limited
NSE/INDTERRAIN,Indian Terrain Fashions Limited
NSE/INFINITE,Infinite Computer Solutions (India) Limited
NSE/INGERRAND,Ingersoll Rand (India) Limited
NSE/JYOTISTRUC,Jyoti Structures Limited
NSE/KAMATHOTEL,Kamat Hotels (I) Limited
NSE/KEC,KEC International Limited
NSE/KCPSUGIND,KCP Sugar and Industries Corporation Limited
NSE/KPRMILL,K.P.R. Mill Limited
NSE/KOTAKBKETF,Kotak Mahindra MF - Kotak Banking ETF - Dividend Payout Option
NSE/KOTAKPSUBK,Kotak Mahindra Mutual Fund
NSE/LAKSHVILAS,Lakshmi Vilas Bank Limited
NSE/M50,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M50 ETF
NSE/MAHABANK,Bank of Maharashtra
NSE/MAHASTEEL,Mahamaya Steel Industries Limited
NSE/MANINDS,Man Industries (India) Limited
NSE/MINDAIND,Minda Industries Limited
NSE/MSPL,MSP Steel & Power Limited
NSE/MRF,MRF Limited
NSE/NCLIND,NCL Industries Limited
NSE/NOIDATOLL,Noida Toll Bridge Company Limited
NSE/PETRONENGG,Petron Engineering Construction Limited
NSE/PENIND,Pennar Industries Limited
NSE/PUNJABCHEM,Punjab Chemicals & Crop Protection Limited
NSE/PSL,PSL Limited
NSE/RAJESHEXPO,Rajesh Exports Limited
NSE/RCF,Rashtriya Chemicals and Fertilizers Limited
NSE/RELBANK,R* Shares Banking ETF
NSE/REPCOHOME,Repco Home Finance Limited
NSE/RKDL,Ravi Kumar Distilleries Limited
NSE/RJL,Renaissance Jewellery Limited
